,RPM,Speed,attack
0,370,0,0
1,0,855,0
2,371,0,0
3,0,855,0
4,372,0,0
5,0,855,0
6,372,0,0
7,371,0,0
8,0,860,0
9,371,0,0
10,0,860,0
11,371,0,0
12,0,855,0
13,371,0,0
14,373,0,0
15,0,855,0
16,373,0,0
17,0,855,0
18,372,0,0
19,0,855,0
20,370,0,0
21,370,0,0
22,0,855,0
23,372,0,0
24,0,855,0
25,372,0,0
26,0,855,0
27,371,0,0
28,371,0,0
29,0,855,0
30,371,0,0
31,0,855,0
32,371,0,0
33,0,855,0
34,373,0,0
35,373,0,0
36,0,855,0
37,373,0,0
38,0,855,0
39,373,0,0
40,0,855,0
41,373,0,0
42,375,0,0
43,0,855,0
44,375,0,0
45,0,849,0
46,373,0,0
47,0,855,0
48,373,0,0
49,373,0,0
50,0,849,0
51,373,0,0
52,0,849,0
53,373,0,0
54,0,849,0
55,372,0,0
56,372,0,0
57,0,849,0
58,372,0,0
59,0,849,0
60,372,0,0
61,0,849,0
62,375,0,0
63,374,0,0
64,0,855,0
65,374,0,0
66,0,855,0
67,373,0,0
68,0,855,0
69,373,0,0
70,373,0,0
71,0,855,0
72,373,0,0
73,0,855,0
74,371,0,0
75,0,855,0
76,371,0,0
77,371,0,0
78,0,855,0
79,372,0,0
80,0,855,0
81,372,0,0
82,0,860,0
83,372,0,0
84,372,0,0
85,0,855,0
86,372,0,0
87,0,855,0
88,372,0,0
89,0,855,0
90,374,0,0
91,374,0,0
92,0,855,0
93,374,0,0
94,0,855,0
95,372,0,0
96,0,860,0
97,372,0,0
98,374,0,0
99,0,860,0
100,374,0,0
101,0,860,0
102,371,0,0
103,0,860,0
104,371,0,0
105,371,0,0
106,0,860,0
107,369,0,0
108,0,860,0
109,369,0,0
110,0,860,0
111,368,0,0
112,368,0,0
113,0,860,0
114,368,0,0
115,0,860,0
116,368,0,0
117,0,860,0
118,371,0,0
119,371,0,0
120,0,860,0
121,371,0,0
122,0,860,0
123,372,0,0
124,0,860,0
125,372,0,0
126,374,0,0
127,0,860,0
128,374,0,0
129,0,855,0
130,374,0,0
131,0,855,0
132,374,0,0
133,373,0,0
134,0,855,0
135,373,0,0
136,0,860,0
137,373,0,0
138,0,860,0
139,372,0,0
140,372,0,0
141,0,860,0
142,372,0,0
143,0,860,0
144,372,0,0
145,0,860,0
146,373,0,0
147,373,0,0
148,0,860,0
149,371,0,0
150,0,860,0
151,371,0,0
152,0,855,0
153,370,0,0
154,372,0,0
155,0,855,0
156,372,0,0
157,0,855,0
158,371,0,0
159,0,855,0
160,371,0,0
161,372,0,0
162,0,855,0
163,372,0,0
164,0,855,0
165,374,0,0
166,0,860,0
167,374,0,0
168,374,0,0
169,0,860,0
170,373,0,0
171,0,855,0
172,373,0,0
173,0,855,0
174,375,0,0
175,375,0,0
176,0,855,0
177,373,0,0
178,0,860,0
179,373,0,0
180,0,860,0
181,373,0,0
182,374,0,0
183,0,860,0
184,374,0,0
185,0,860,0
186,373,0,0
187,0,860,0
188,373,0,0
189,372,0,0
190,0,860,0
191,372,0,0
192,0,860,0
193,375,0,0
194,0,860,0
195,375,0,0
196,373,0,0
197,0,860,0
198,375,0,0
199,0,860,0
200,375,0,0
